code,recommendation,entry_datetime,exit_datetime,timezone,entry_price,exit_price,status,gain_loss_pct
3317.HK,BUY,2026-03-15 11:00:00,2026-03-16 09:39,HKT,113.0,109.61,LOSS,-3.0000000000000004
3317.HK,BUY,2026-03-16 11:00:00,2026-03-16 13:21,HKT,110.5,107.18,LOSS,-3.004524886877822
3317.HK,BUY,2026-03-16 15:00:00,2026-03-16 15:02,HKT,109.3,112.58,GAIN,3.000914913083258
3317.HK,BUY,2026-03-17 11:00:00,2026-03-17 11:45,HKT,110.9,114.23,GAIN,3.002705139765553
3317.HK,BUY,2026-03-17 15:00:00,2026-03-17 15:00,HKT,125.4,121.64,LOSS,-2.9984051036682655
3317.HK,BUY,2026-03-19 15:00:00,2026-03-20 09:30,HKT,144.3,148.63,GAIN,3.0006930006929897
3317.HK,BUY,2026-03-21 11:00:00,2026-03-23 09:30,HKT,147.0,142.59,LOSS,-2.999999999999998
3317.HK,BUY,2026-03-23 11:00:00,2026-03-23 14:19,HKT,147.4,142.98,LOSS,-2.99864314789689
3317.HK,BUY,2026-03-26 15:00:00,2026-03-27 10:15,HKT,148.2,152.65,GAIN,3.002699055330646
3690.HK,BUY,2026-03-19 11:00:00,2026-03-20 10:26,HKT,81.0,78.57,LOSS,-3.0000000000000084
3690.HK,BUY,2026-03-20 11:00:00,2026-03-20 16:08,HKT,79.55,79.1500015258789,PENDING,
3690.HK,BUY,2026-03-27 15:00:00,2026-03-27 16:08,HKT,86.3,85.9000015258789,PENDING,
3690.HK,BUY,2026-03-29 11:00:00,2026-03-30 10:27,HKT,85.9,83.32,LOSS,-3.003492433061714
3690.HK,BUY,2026-03-30 15:00:00,2026-03-31 16:08,HKT,84.1,82.94999694824219,PENDING,
568.HK,BUY,2026-03-15 11:00:00,2026-03-16 09:30,HKT,11.39,11.05,LOSS,-2.98507462686567
568.HK,BUY,2026-03-16 11:00:00,2026-03-16 14:01,HKT,11.44,11.1,LOSS,-2.9720279720279708
568.HK,BUY,2026-03-16 15:00:00,2026-03-16 15:00,HKT,11.62,11.27,LOSS,-3.0120481927710814
568.HK,BUY,2026-03-17 11:00:00,2026-03-17 13:45,HKT,10.41,10.72,GAIN,2.9779058597502446
568.HK,BUY,2026-03-17 15:00:00,2026-03-18 09:30,HKT,11.2,10.86,LOSS,-3.0357142857142847
568.HK,BUY,2026-03-18 15:00:00,2026-03-19 09:30,HKT,10.69,11.01,GAIN,2.9934518241347083
568.HK,BUY,2026-03-19 11:00:00,2026-03-19 13:38,HKT,11.55,11.9,GAIN,3.0303030303030267
568.HK,BUY,2026-03-19 15:00:00,2026-03-20 09:30,HKT,11.81,11.46,LOSS,-2.9635901778154077
568.HK,BUY,2026-03-20 11:00:00,2026-03-20 15:05,HKT,11.27,11.61,GAIN,3.016858917480034
568.HK,BUY,2026-03-20 15:00:00,2026-03-20 15:48,HKT,11.45,11.11,LOSS,-2.9694323144104793
568.HK,BUY,2026-03-23 11:00:00,2026-03-23 13:41,HKT,11.58,11.23,LOSS,-3.022452504317786
568.HK,BUY,2026-03-23 15:00:00,2026-03-24 09:30,HKT,11.96,11.6,LOSS,-3.0100334448160635
568.HK,BUY,2026-03-24 11:00:00,2026-03-24 14:35,HKT,11.25,10.91,LOSS,-3.022222222222221
568.HK,BUY,2026-03-24 15:00:00,2026-03-24 15:00,HKT,10.65,10.97,GAIN,3.0046948356807537
568.HK,SELL,2026-03-26 11:00:00,2026-03-26 13:23,HKT,10.21,10.52,LOSS,-3.0362389813907806
568.HK,SELL,2026-03-26 15:00:00,2026-03-27 10:03,HKT,10.35,10.04,GAIN,2.9951690821256087
568.HK,SELL,2026-03-27 11:00:00,2026-03-27 13:59,HKT,10.19,10.5,LOSS,-3.042198233562321
568.HK,SELL,2026-03-27 15:00:00,2026-03-27 16:08,HKT,10.57,10.3100004196167,PENDING,
568.HK,SELL,2026-03-28 11:00:00,2026-03-30 09:30,HKT,10.31,10.62,LOSS,-3.0067895247332563
568.HK,SELL,2026-03-30 11:00:00,2026-03-31 09:30,HKT,10.37,10.06,GAIN,2.989392478302784
568.HK,SELL,2026-03-30 15:00:00,2026-03-31 09:30,HKT,10.44,10.13,GAIN,2.969348659003819
6869.HK,BUY,2026-03-15 11:00:00,2026-03-16 09:30,HKT,159.0,163.77,GAIN,3.0000000000000067
6869.HK,BUY,2026-03-16 11:00:00,2026-03-16 13:13,HKT,156.2,160.89,GAIN,3.002560819462227
6869.HK,BUY,2026-03-16 15:00:00,2026-03-17 09:30,HKT,159.6,154.81,LOSS,-3.0012531328320753
6869.HK,SELL,2026-03-18 11:00:00,2026-03-18 14:28,HKT,147.6,152.03,LOSS,-3.0013550135501403
6869.HK,SELL,2026-03-18 15:00:00,2026-03-19 09:30,HKT,153.0,148.41,GAIN,3.000000000000002
6869.HK,SELL,2026-03-19 15:00:00,2026-03-20 09:30,HKT,146.1,150.48,LOSS,-2.997946611909648
6869.HK,BUY,2026-03-26 11:00:00,2026-03-26 13:20,HKT,184.7,179.16,LOSS,-2.9994585814834824
6869.HK,BUY,2026-03-26 15:00:00,2026-03-27 09:30,HKT,182.0,176.54,LOSS,-3.0000000000000044
6869.HK,BUY,2026-03-27 11:00:00,2026-03-27 11:05,HKT,179.2,173.82,LOSS,-3.0022321428571406
6869.HK,BUY,2026-03-27 15:00:00,2026-03-27 16:08,HKT,174.0,172.3000030517578,PENDING,
6869.HK,BUY,2026-03-28 11:00:00,2026-03-30 09:31,HKT,172.3,177.47,GAIN,3.0005803830528075
6869.HK,BUY,2026-03-30 11:00:00,2026-03-30 11:00,HKT,189.3,183.62,LOSS,-3.0005282620179643
6869.HK,BUY,2026-03-30 15:00:00,2026-03-31 09:30,HKT,195.2,189.34,LOSS,-3.0020491803278615
700.HK,BUY,2026-03-15 11:00:00,2026-03-16 11:56,HKT,547.5,563.93,GAIN,3.0009132420091236
700.HK,BUY,2026-03-16 11:00:00,2026-03-18 11:00,HKT,559.0,544.0,PENDING,
700.HK,BUY,2026-03-16 15:00:00,2026-03-18 15:00,HKT,558.5,548.5,PENDING,
700.HK,BUY,2026-03-17 11:00:00,2026-03-19 09:30,HKT,558.0,541.26,LOSS,-3.0000000000000018
700.HK,BUY,2026-03-17 15:00:00,2026-03-19 09:30,HKT,551.5,534.96,LOSS,-2.9990933816863032
700.HK,BUY,2026-03-18 11:00:00,2026-03-19 09:30,HKT,545.0,528.65,LOSS,-3.000000000000004
700.HK,SELL,2026-03-24 11:00:00,2026-03-26 11:00,HKT,507.0,500.5,PENDING,
700.HK,SELL,2026-03-24 15:00:00,2026-03-26 10:37,HKT,515.5,500.04,GAIN,2.9990300678952435
700.HK,SELL,2026-03-25 11:00:00,2026-03-27 09:49,HKT,505.0,489.85,GAIN,2.9999999999999956
700.HK,SELL,2026-03-25 15:00:00,2026-03-27 09:50,HKT,503.5,488.4,GAIN,2.99900695134062
700.HK,SELL,2026-03-26 11:00:00,2026-03-27 16:08,HKT,500.5,493.3999938964844,PENDING,
883.HK,BUY,2026-03-16 11:00:00,2026-03-17 11:12,HKT,29.18,28.3,LOSS,-3.0157642220699077
883.HK,BUY,2026-03-17 11:00:00,2026-03-17 14:16,HKT,28.34,29.19,GAIN,2.9992942836979584
883.HK,BUY,2026-03-17 15:00:00,2026-03-18 10:30,HKT,28.96,28.09,LOSS,-3.0041436464088433
883.HK,BUY,2026-03-18 11:00:00,2026-03-19 09:30,HKT,28.02,28.86,GAIN,2.997858672376873
883.HK,BUY,2026-03-19 15:00:00,2026-03-20 16:08,HKT,29.56,30.3799991607666,PENDING,
883.HK,BUY,2026-03-24 11:00:00,2026-03-25 09:30,HKT,29.72,28.83,LOSS,-2.9946164199192484
883.HK,BUY,2026-03-24 15:00:00,2026-03-25 09:30,HKT,29.2,28.32,LOSS,-3.013698630136983
981.HK,SELL,2026-03-19 15:00:00,2026-03-20 13:17,HKT,60.0,58.2,GAIN,2.9999999999999956
981.HK,SELL,2026-03-24 15:00:00,2026-03-25 09:36,HKT,55.05,56.7,LOSS,-2.9972752043596835
981.HK,SELL,2026-03-25 11:00:00,2026-03-26 11:17,HKT,56.05,54.37,GAIN,2.997323818019625
981.HK,SELL,2026-03-25 15:00:00,2026-03-26 10:57,HKT,56.15,54.47,GAIN,2.9919857524487976
981.HK,SELL,2026-03-26 11:00:00,2026-03-27 09:30,HKT,53.95,52.33,GAIN,3.002780352177951
981.HK,SELL,2026-03-26 15:00:00,2026-03-27 16:08,HKT,53.1,52.5,PENDING,
981.HK,SELL,2026-03-30 11:00:00,2026-03-31 16:08,HKT,51.4,50.70000076293945,PENDING,
981.HK,SELL,2026-03-30 15:00:00,2026-03-31 10:08,HKT,50.85,52.38,LOSS,-3.008849557522126
9926.HK,BUY,2026-03-15 11:00:00,2026-03-16 10:08,HKT,110.2,113.51,GAIN,3.0036297640653378
9926.HK,BUY,2026-03-16 11:00:00,2026-03-17 10:14,HKT,114.8,118.24,GAIN,2.9965156794425067
9926.HK,BUY,2026-03-16 15:00:00,2026-03-17 10:32,HKT,116.7,120.2,GAIN,2.999143101970865
9926.HK,BUY,2026-03-18 11:00:00,2026-03-20 11:00,HKT,119.0,116.69999694824219,PENDING,
9926.HK,BUY,2026-03-18 15:00:00,2026-03-19 09:54,HKT,120.7,117.08,LOSS,-2.9991714995857532
9926.HK,BUY,2026-03-19 11:00:00,2026-03-20 14:41,HKT,118.8,115.24,LOSS,-2.9966329966329983
9926.HK,BUY,2026-03-19 15:00:00,2026-03-20 16:08,HKT,117.1,115.5999984741211,PENDING,
9926.HK,BUY,2026-03-20 11:00:00,2026-03-20 15:02,HKT,118.0,114.46,LOSS,-3.0000000000000053
9926.HK,BUY,2026-03-20 15:00:00,2026-03-20 16:08,HKT,115.4,115.5999984741211,PENDING,
9926.HK,BUY,2026-03-21 11:00:00,2026-03-23 09:30,HKT,115.6,112.13,LOSS,-3.0017301038062274
